"KDSATKER","MAX(REVISION_NUMBER)"
"175302",4
"175355",5
"179017",2
"179019",1
"179020",3
"179021",11
"179024",3
"179025",2
"179052",2
"179053",4
"179054",3
"179055",1
"179056",3
"179057",1
"179062",3
"179064",3
"179066",2
"179067",1
"179103",4
"179104",6
"179105",3
"179106",9
"179109",3
"179110",5
"179113",4
"179214",2
"179223",5
"179314",7
"180006",4
"180015",2
"180032",2
"180060",1
"180062",2
"180064",1
"180091",3
"180116",2
"180345",3
"180641",7
"180945",3
"181214",4
"181216",4
"181217",1
"181218",3
"181219",2
"181220",3
"181305",8
"181403",7
"185169",4
"189008",2
"189011",1
"189012",3
"189016",5
"189018",4
"189020",4
"189023",4
"189034",4
"189035",2
"189036",1
"189037",3
"189038",1
"189079",3
"189080",2
"189081",4
"189084",5
"189132",4
"189133",5
"189134",8
"189138",4
"189139",3
"189143",2
"189213",5
"189643",7
"189646",2
"189916",3
"190004",4
"190051",3
"190056",2
"190068",4
"190091",4
"190099",2
"190100",7
"190244",1
"190247",6
"190633",3
"190757",1
"191206",6
"191702",2
"192102",2
"192135",1
"192434",4
"192520",8
"192521",3
"195175",1
"199010",5
"199013",3
"199014",1
"199022",8
"199026",5
"199028",5
"199033",3
"199034",3
"199035",2
"199036",3
"199037",1
"199056",1
"199060",1
"199070",1
"199073",1
"199074",2
"199077",4
"199078",4
"199080",1
"199092",1
"199125",6
"199126",5
"199127",5
"199128",7
"199132",5
"199133",5
"199134",4
"199382",4
"199385",2
"199411",6
"199478",1
"199543",1
"199572",5
"200006",4
"200018",1
"200019",2
"200027",1
"200028",2
"200041",3
"200093",4
"200475",5
"200477",5
"200637",4
"200831",5
"201205",12
"201206",5
"201208",5
"201304",7
"205105",10
"205139",4
"205232",9
"209008",4
"209016",8
"209019",3
"209020",6
"209021",3
"209026",4
"209030",3
"209031",3
"209032",3
"209033",1
"209034",3
"209035",2
"209065",5
"209067",5
"209068",2
"209069",2
"209071",3
"209095",2
"209107",4
"209108",3
"209109",4
"209110",9
"209113",5
"209114",6
"209117",2
"209188",2
"209198",2
"209255",9
"209273",6
"210008",1
"210010",3
"210019",1
"210023",2
"210035",3
"210042",7
"210055",3
"210066",3
"210918",4
"211008",4
"211011",5
"211012",5
"211013",3
"211014",5
"215137",2
"215141",9
"215155",6
"215206",2
"215208",5
"215209",4
"215210",2
"219000",4
"219001",3
"219004",4
"219006",3
"219009",2
"219010",1
"219021",1
"219024",1
"219028",4
"219029",4
"219030",1
"219031",5
"219032",2
"219036",4
"219055",2
"219057",1
"219062",3
"219090",4
"219091",3
"219092",3
"219093",5
"219095",5
"219098",2
"219175",2
"219228",7
"220006",7
"220009",3
"220022",3
"220060",2
"220062",4
"220064",12
"220155",4
