"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"099183","005","425232",50,1,94
"099183","005","425233",46,3,79
"099183","005","425239",109,5,651
"099184","005","425232",54,1,75
"099184","005","425233",44,2,80
"099184","005","425239",198,9,1441
"099185","005","425232",40,1,62
"099185","005","425233",20,5,20
"099185","005","425239",154,12,970
"099186","005","425232",33,1,33
"099186","005","425233",27,2,27
"099186","005","425239",689,14,1425
"099187","005","425232",35,1,48
"099187","005","425233",17,3,17
"099187","005","425239",222,23,2054
"099188","005","425233",16,2,53
"099188","005","425239",94,16,3180
"099189","005","425239",160,2,879
"099190","005","425231",187,1,1072
"099190","005","425233",577,17,2538
"099190","005","425239",2808,89,43500
"099191","005","425232",29,1,147
"099191","005","425233",36,3,139
"099191","005","425239",119,10,4065
"099192","005","425232",9,1,43
"099192","005","425233",29,5,131
"099192","005","425239",167,25,3691
"099193","005","425232",9,1,90
"099193","005","425233",16,3,97
"099193","005","425239",47,6,3954
"099194","005","425231",3,1,7
"099194","005","425232",8,1,199
"099194","005","425233",30,5,196
"099194","005","425239",49,9,4152
"099195","005","425232",20,1,309
"099195","005","425233",30,7,304
"099195","005","425239",122,18,11725
"099196","005","425232",9,1,382
"099196","005","425233",37,6,102
"099196","005","425239",182,34,2759
"099198","005","425233",45,7,171
"099198","005","425239",240,37,13260
"099199","005","425231",4,1,4
"099199","005","425232",16,1,202
"099199","005","425233",60,7,293
"099199","005","425239",354,39,10107
"099200","005","425233",25,5,138
"099200","005","425239",113,27,7712
"099201","005","425131",1,1,1
"099201","005","425231",1,1,107
"099201","005","425232",9,1,123
"099201","005","425233",18,4,152
"099201","005","425239",73,22,4469
"099203","005","425231",3,1,4
"099203","005","425232",27,1,144
"099203","005","425233",78,6,349
"099203","005","425239",328,34,14184
"099204","005","425239",87,2,330
"099205","005","425232",108,1,1588
"099205","005","425233",248,9,787
"099205","005","425239",1052,69,17745
"099206","005","425233",10,1,10
"099206","005","425239",274,8,1345
"099207","005","425232",8,1,55
"099207","005","425233",35,5,69
"099207","005","425239",203,31,4657
